delivery_date,curve_proxy_7d,curve_proxy_30d,curve_proxy_90d,fv_week_base,fv_month_base,fv_quarter_base,fv_week_peak,fv_month_peak,signal_week_base,signal_month_base,signal_quarter_base,signal_week_peak,signal_month_peak,signal_label_week_base,signal_label_month_base,week_confidence,month_confidence,week_position_size,month_position_size,week_signal_weighted,month_signal_weighted,fv_week_base_p10,fv_week_base_p90,fv_month_base_p10,fv_month_base_p90,inv_gas_spike,inv_wind_revision,inv_residual_load_swing,inv_negative_price_regime,inv_high_error_regime,any_invalidation,avg_residual_load_mw,avg_res_penetration,gas_price,spark_spread_actual,spark_spread_premium,is_thermal_regime,is_res_regime,peak_base_premium_pred,n_negative_hours_pred,base_actual,base_pred
2025-12-31,88.71849702380953,93.47084027777778,92.7851087962963,78.48349917339885,109.39452542683027,107.05930908779597,89.16027475106105,123.01089844170774,-10.234997850410679,15.923685149052488,14.274200291499668,0.44177772725151954,29.540058163929956,STRONG_SELL,STRONG_BUY,0.7329671972305689,0.6787936764972131,0.5,0.5,-1.0,1.0,55.710989816755315,98.7451299012291,82.4236216816077,136.5469975844694,False,False,False,False,False,False,24563.84073641304,0.5576309160795617,27.766,73.98769583333335,-7.03219944444443,True,False,9.67783671480457,0,86.48239583333334,74.40251294365198
2026-01-01,79.65653273809525,90.3480138888889,92.20436226851851,91.22912655816539,112.4046133503141,108.25381651181071,104.70417799168578,126.32410079119819,11.57259382007014,22.056599461425193,16.049454243292203,25.04764525359053,35.97608690230929,INVALIDATED,INVALIDATED,0.6948108473006179,0.6750119684768701,0.0,0.0,0.0,0.0,65.07330762090311,114.25660125867842,85.09501653511293,139.85561153910518,False,False,True,False,False,True,810.9737770312504,0.9841477588746316,28.161,-4.943179166666668,-82.84123805555556,False,False,1.8511176856099176,0,7.7292708333333335,19.860267134719724
2026-01-02,73.9579017857143,86.76626736111112,92.84922685185187,94.49498012444225,114.40080095043676,109.05342115884238,108.16011437886092,128.09080047609592,20.53707833872795,27.634533589325642,16.204194306990516,34.202212593146626,41.3245331149848,STRONG_BUY,STRONG_BUY,0.7079910943355343,0.6832690142463858,0.5,0.5,1.0,1.0,69.65108867795261,116.71029646797419,88.07838064043085,141.44766059446658,False,False,False,False,False,False,12065.291291447918,0.8107832571746848,28.161,44.95484166666667,-29.359805694444447,True,False,16.884806487880844,0,57.62729166666667,50.68228192553088
2026-01-03,73.68688988095239,85.57425347222221,93.80396643518519,97.97880386193538,115.79471133261147,109.61665455321896,113.50115473471574,129.5813640461311,24.291913980982983,30.22045786038926,15.812688118033776,39.81426485376335,44.0071105739089,STRONG_BUY,STRONG_BUY,0.6679242800982383,0.67949058287086,0.5,0.5,1.0,1.0,68.90966150899878,122.42590708143534,89.2245826220624,143.23052956145085,False,False,False,False,False,False,18588.945046083332,0.642473219674155,29.004,75.98049166666665,2.8698281944444233,True,False,9.296137796714945,0,89.03229166666665,69.06385015810467
2026-01-04,73.91392857142857,84.30325347222221,93.82176388888888,100.76719672219316,116.17244551400206,109.95451866756551,116.3756732352934,129.90375189723406,26.853268150764592,31.869192041779854,16.132754778676627,42.461744663864835,45.60049842501185,STRONG_BUY,STRONG_BUY,0.6824761902018672,0.680188388017055,0.5,0.5,1.0,1.0,73.80649412482798,124.9776010798305,89.71447658130201,143.60284311373394,False,False,False,False,False,False,27086.77971501042,0.48807855333145606,29.004,81.53528333333334,9.724359861111125,True,False,10.282499999199445,0,94.58708333333334,85.96616654896125
2026-01-05,79.78165178571429,86.16733333333333,93.7937650462963,100.08246758138105,116.26078452148896,109.93996216994445,115.96735788433662,129.898793893211,20.300815795666765,30.093451188155626,16.14619712364815,36.18570609862233,43.731460559877675,STRONG_BUY,STRONG_BUY,0.6808582854558614,0.6810712736911194,0.5,0.5,1.0,1.0,72.46041200704046,123.89225524148455,89.9110322642484,143.6506322571691,False,False,False,False,False,False,44617.01440909375,0.25960653670282463,29.004,121.86986666666668,48.220933333333335,True,False,12.6012059745496,0,134.92166666666668,110.95891700341947
2026-01-06,85.33691964285715,87.78694444444446,93.89458217592593,99.54720306996015,116.25881066508222,109.78849317686932,115.58370273153676,129.72170008801243,14.210283427102993,28.471866220637764,15.89391100094339,30.246783088679607,41.93475564356797,STRONG_BUY,STRONG_BUY,0.6798770188325726,0.6826084673525417,0.5,0.5,1.0,1.0,71.79514451247466,123.38512549212787,89.973592859201,143.45417519186717,False,False,False,False,False,False,47560.66954272916,0.20128102020697006,27.399,114.6488875,39.38233805555555,True,False,17.433361637415587,0,126.9784375,120.23985369905249
2026-01-07,87.12284226190476,88.65630555555556,93.83652199074072,103.13282624700318,117.46443646721185,110.04484146691209,121.07802118300974,131.11190353254023,16.009983985098415,28.808130911656292,16.20831947617137,33.955178921104974,42.45559797698466,STRONG_BUY,STRONG_BUY,0.6412318815784321,0.6781585965365037,0.5,0.5,1.0,1.0,71.9168953268314,129.7348012390419,90.81439380969556,145.04478090420199,False,False,False,False,False,False,29130.392816604173,0.526078054485962,28.072,86.35145416666667,10.227633611111116,True,False,6.38829946226511,0,98.98385416666667,92.61315774400346
2026-01-08,108.0054761904762,90.77547569444444,94.47131018518519,104.57463598801762,118.03060954404079,110.05946544628824,122.56298005444536,131.3926913918667,-3.430840202458583,27.255133849596348,15.588155261103054,14.55750386396916,40.61721569742225,SELL,STRONG_BUY,0.6353702886178809,0.6820102907883299,0.5,0.5,-0.5,1.0,73.87287708110455,132.63541829641798,91.72231044226936,145.30368573158736,False,False,False,False,False,False,41424.16022894792,0.3416324211962183,28.777,140.95805833333333,62.74365763888888,True,False,21.439048676617205,0,153.90770833333332,109.07965882808548
2026-01-09,110.97916666666666,90.73169444444444,94.33219097222224,109.54019244770735,119.51106159202004,110.62125327023931,128.08229480992182,132.55417931190445,-1.4389742189593022,28.7793671475756,16.289062298017072,17.103128143255162,41.822484867460005,INVALIDATED,INVALIDATED,0.6006654909579434,0.6869938945950045,0.0,0.0,0.0,0.0,76.25774961835407,140.6132034219783,93.8068712824092,146.54850761753056,False,True,True,False,False,True,16544.79487715625,0.7360947988595923,27.699,65.97857499999999,-12.188894444444458,True,False,18.215386234168818,0,78.443125,73.54325688946896
2026-01-10,112.3404613095238,90.85493749999999,94.43848263888887,112.92128676297129,121.05477535026237,110.88954447257811,130.18695035608087,133.83545217711912,0.5808254534474884,30.199837850262384,16.451061833689238,17.846489046557068,42.98051467711913,HOLD,STRONG_BUY,0.6265444941900917,0.6920947709746426,0.5,0.5,0.0,1.0,83.32536471210726,143.51024232138872,95.90446793656714,147.7866048486431,False,False,False,False,False,False,28001.378400156245,0.5001467052406261,28.374,85.79305416666666,7.528921666666662,True,False,22.296654125246874,0,98.56135416666666,93.45061632055648
2026-01-11,112.41717261904762,90.2324826388889,93.93722569444445,113.73742330963584,121.98682728076072,110.97533221705132,130.83535681510608,134.7728021152026,1.3202506905882245,31.754344641871825,17.038106522606867,18.418184196058462,44.54031947631371,HOLD,STRONG_BUY,0.6186117120190233,0.6887057469833531,0.5,0.5,0.0,1.0,83.63719712670196,145.1004961721099,96.50722719825261,148.96041581760537,False,False,False,False,False,False,36941.489842020834,0.3068706495046251,28.374,82.3557625,4.7376198611111136,True,False,10.885379481438363,0,95.1240625,105.48491657076583
