delivery_date,base_pred,peak_pred,offpeak_pred,base_actual,peak_actual,offpeak_actual,base_p10,base_p25,base_p75,base_p90,intraday_spread_pred,peak_base_premium_pred,peak_base_premium_actual,avg_residual_load_mw,avg_res_penetration,avg_wind_mw,avg_solar_mw,gas_price,min_hour_pred,max_hour_pred,n_negative_hours_pred
2025-10-09,103.16058322203996,100.60599051761763,105.71517592646232,104.20927083333333,100.96770833333333,107.45083333333334,75.88844986558409,81.76703605986535,117.07105424912774,148.84989905635308,97.58422092319809,-2.5545927044223333,-3.2415625000000006,37088.32625,0.3411245060927191,14119.72875,5554.545416666667,32.7,23,5,0
2025-10-10,92.31820890445475,96.23519252289337,88.4012252860161,96.77677083333333,97.813125,95.74041666666669,71.34220197610888,75.95001567845259,106.60421188647129,123.48869034065108,80.42479960417499,3.9169836184386213,1.0363541666666691,31701.383541666666,0.4379872484919038,18668.878645833334,6411.221041666667,32.363,1,17,0
2025-10-11,84.77617928410821,86.94989666466427,82.6024619035522,90.96385416666665,89.505,92.42270833333333,62.230635808528035,72.15390710030366,91.87750469622046,111.66166520369372,89.40667112824401,2.173717380556056,-1.4588541666666544,29902.0559375,0.37972475247201726,13400.340104166666,5443.568854166667,32.17,11,17,0
2025-10-12,87.60460871988805,90.47180780396035,84.73740963581577,88.99510416666665,87.89,90.10020833333334,62.59324718245233,71.75984867235715,97.99534437822726,123.13400177387041,93.81553656849532,2.867199084072297,-1.1051041666666492,31694.061458333334,0.33818262089550166,12204.740520833331,4445.229791666667,32.17,11,17,0
2025-10-13,122.19786743716064,128.2708557543452,116.12487911997607,140.2371875,154.07833333333332,126.39604166666669,90.11470751832171,94.62461863200213,145.29925911891718,163.5045088719967,117.55079493245299,6.072988317184567,13.841145833333314,48105.29666666667,0.15405738708136585,3174.7704166666667,6181.546145833333,32.17,1,17,0
2025-10-14,125.23239920322119,133.91828023538218,116.54651817106021,156.7671875,188.269375,125.265,91.14540932321871,95.5088437044883,139.09879745370782,176.5964364955797,148.45822405379994,8.685881032160992,31.50218749999999,45223.86499999999,0.19903232895546194,6500.890416666666,5462.631770833334,31.475,1,17,0
2025-10-15,127.54104078219792,136.830075046262,118.2520065181338,143.50145833333332,146.963125,140.03979166666667,92.68308563707241,96.02014750494091,152.8991318884186,182.63433768085898,146.48184096817266,9.289034264064085,3.461666666666673,46870.792083333334,0.17665593553520767,5609.206770833333,4788.450729166667,31.801,23,17,0
2025-10-16,109.77489922844912,113.24162153832692,106.30817691857128,100.10479166666666,101.64916666666666,98.56041666666665,87.08080871804344,88.56003099417592,125.21608257472354,160.63260940001516,91.74789478978559,3.4667223098778095,1.5443750000000023,38056.609375,0.32931505941213496,14395.277604166666,4784.247812500001,31.826,11,17,0
2025-10-17,104.5137414230421,105.51760469504575,103.50987815103842,104.73958333333333,105.06104166666667,104.41812499999999,84.71713324183459,88.37623655720435,119.53754609736265,142.32531724933096,79.40875282164812,1.0038632720036418,0.3214583333333394,38319.338437499995,0.3163767858797695,13348.0284375,4887.542291666667,32.378,11,17,0
2025-10-18,96.51193567792173,98.91242020564044,94.111451150203,95.5503125,95.86,95.24062500000001,71.65146832437128,85.49312580370815,104.1347578107933,121.69929985495321,92.37518952733575,2.4004845277187172,0.30968749999999545,33453.46135416667,0.30355256548414994,6533.682395833333,8553.664791666668,31.816,11,17,0
2025-10-19,74.46747229022704,73.33647155710946,75.59847302334462,73.44166666666666,68.81270833333333,78.070625,46.4499720743579,66.54478429069587,83.9659570428537,93.6322103069632,86.03932396436038,-1.131000733117574,-4.62895833333333,21994.343125,0.5399350812264548,20114.65125,6503.467187499999,31.816,11,17,0
2025-10-20,73.513773049038,89.75661427922834,57.270931818847636,81.06760416666665,89.92791666666666,72.20729166666666,37.288703838355545,49.41468444618031,91.78544430893056,104.05583414526149,113.9634188963428,16.24284123019035,8.860312500000006,21805.938437500005,0.625076785882257,30589.0346875,4486.039791666667,31.816,23,17,0
2025-10-21,57.31313690289873,61.67391984829094,52.952353957506496,70.72520833333334,74.81875000000001,66.63166666666667,9.333889946758797,15.785205618199118,82.7174075377512,99.74603943767525,127.93383935647503,4.3607829453922164,4.093541666666667,16647.226145833334,0.7055544223137448,34441.885625,5485.499062499999,31.739,11,17,0
2025-10-22,111.3095262652701,127.74543485975188,94.87361767078825,126.10281250000001,150.22583333333333,101.97979166666669,75.27958029718708,92.28321573850806,126.28071738044609,150.51394728245089,124.68585049283207,16.435908594481788,24.123020833333314,38810.1809375,0.31760940468899634,14243.048125000001,3435.537083333333,32.2,1,17,0
2025-10-23,65.40417347792514,72.39177866829338,58.416568287556885,74.94114583333334,82.96895833333333,66.91333333333333,35.07990397270272,52.406155309567,81.99346550804512,87.57684922358645,106.9709942853435,6.987605190368242,8.027812499999996,18108.7437790625,0.6849476847070379,37032.27413760417,2819.424791666667,31.768,23,17,0
2025-10-24,24.58383498329503,27.47117494535972,21.696495021230344,31.516041666666666,37.14208333333334,25.889999999999997,4.149139380528527,6.962212461861826,42.25322284886507,64.30207874546194,85.6560482024537,2.88733996206469,5.626041666666673,5943.523823854165,0.9008118066601997,46878.41363083333,4870.8997328125,32.454,11,17,0
2025-10-25,15.783731228929847,17.764109339964616,13.803353117895078,11.404583333333335,18.784791666666667,4.024375,1.4151041298665152,7.746017754079148,16.08394352677184,37.62527403974332,63.249516890442145,1.980378111034769,7.380208333333332,2943.0537353260884,0.941691721491152,41094.960663750004,3255.676006847826,32.016,11,17,3
2025-10-26,6.604809644430804,6.861854925576355,6.347764363285254,6.456458333333334,10.385416666666666,2.5275,-6.944541019511975,0.03473921054401585,8.97094696979344,18.67038185822959,50.643032815116754,0.25704528114555103,3.928958333333332,-958.0887094791666,1.0204332547701187,45178.838165,3777.5425236458336,32.016,11,17,6
2025-10-27,60.421492316171644,83.14887175933256,37.694112873010724,70.18354166666667,97.42291666666667,42.94416666666667,10.610437502210285,21.84672826527581,83.20692489226388,95.87339976850981,108.26977012644868,22.72737944316092,27.239374999999995,16840.404320937498,0.7345630019312622,40006.518926875004,2342.857273020833,32.016,1,17,0
2025-10-28,56.07972892441595,69.23326155766448,42.92619629116743,67.286875,82.84458333333332,51.729166666666664,10.883447434555524,32.19978373376338,76.71732500990068,91.16065492028667,106.51108248201486,13.153532633248524,15.557708333333323,15253.656814166665,0.7491329378533473,41098.12593802083,2528.1364144791664,31.4,0,17,0
2025-10-29,84.34035282966066,96.04784727421486,72.63285838510646,88.40395833333334,98.27270833333334,78.53520833333333,47.458892266008064,68.60220531002288,97.60778222742157,115.89534612942823,124.66451081551425,11.7074944445542,9.868750000000006,25930.235488125003,0.5630854223341566,26897.652907604166,5843.584625104167,31.494,0,17,0
2025-10-30,67.2492990061081,62.49880989582662,71.99978811638958,69.93145833333334,63.47354166666667,76.38937499999999,8.855951177444618,39.87158140675181,94.69433903098215,115.53400684072099,141.16316781949143,-4.750489110281485,-6.457916666666669,21404.522847708333,0.627279949947591,31671.744055416668,6046.930909375001,31.869,11,17,0
2025-10-31,87.68105346085731,92.08590384203573,83.27620307967891,91.86677083333335,97.02499999999999,86.70854166666668,70.52182216668989,76.43336394651585,98.22952796247368,110.74256460317643,62.685655319511994,4.40485038117842,5.1582291666666436,31396.55295625,0.43651467949287204,18108.559616875,6715.225656041667,31.048,23,17,0
2025-11-01,51.16928200810901,50.3163360081673,52.02222800805072,48.03010416666666,54.49666666666667,41.56354166666666,22.207122957091745,40.49322991187362,62.384338656167735,74.70729804928293,79.60309966028379,-0.8529459999417099,6.466562500000009,15767.250108437502,0.6567412696639381,26641.300739895833,4097.712380833334,31.122,9,17,0
2025-11-02,78.9417566190052,92.19422829605581,65.68928494195463,86.66864583333331,98.43291666666666,74.904375,52.836946830551454,67.64820217913666,87.97123475755309,107.82401665284536,80.58668008542575,13.252471677050607,11.764270833333342,30385.76716395833,0.395309080588735,16820.664140729165,2287.2157786458333,31.122,2,17,0
2025-11-03,80.26069295591317,87.29421963980838,73.22716627201798,75.54833333333333,79.94958333333334,71.14708333333333,62.28606913858839,65.2184581461268,92.01811681776849,102.37717718533598,65.64508803593286,7.033526683895204,4.4012500000000045,25475.827899479165,0.5549953369297501,27488.624640729162,4702.114334791667,31.122,23,17,0
2025-11-04,81.52218132525864,90.70713392969151,72.33722872082576,76.08677083333333,90.963125,61.21041666666667,55.7491452509994,65.88060681155895,91.55141278015843,108.03986852189509,82.63384042595204,9.184952604432866,14.876354166666673,26845.2906334375,0.5368559516685608,24285.035567812505,6338.583902916667,31.741,2,17,0
