delivery_date,base_pred,peak_pred,offpeak_pred,base_p10,base_p90,base_actual,peak_actual,peak_premium,next_7d_base_mean,next_30d_base_mean,next_7d_peak_mean,next_30d_peak_mean,next_7d_base_p10,next_7d_base_p90,next_30d_base_p10,next_30d_base_p90
2025-03-06,102.96697221932835,100.23883897511854,105.69510546353816,55.59755646040842,153.49576271153404,90.08458333333334,76.91833333333334,-2.7281332442098147,115.04807375974477,129.21352708724535,113.56677145665488,136.41425904264668,69.1031737616203,161.7151629810832,94.8224471580327,168.7142186435601
2025-03-07,113.54236238495149,112.17350729128238,114.9112174786206,68.28976821934772,165.53441781658074,105.43875000000001,95.75916666666666,-1.3688550936691115,110.8076138868134,127.93417751359348,107.60856375376356,134.63311808292724,62.70836404124979,159.25056532356845,93.39186644135033,167.66300879805192
2025-03-08,91.47327702323507,76.40464534741417,106.54190869905592,27.741543646026603,131.60642243463505,89.44500000000001,68.35166666666667,-15.068631675820896,105.8685806586336,125.85515593473944,99.84598173693989,131.65009007035277,51.2352128858151,155.4573903988556,90.09409412524023,165.74991055640893
2025-03-09,84.74020332441727,69.62337579227234,99.85703085656219,9.406385853587,138.86167878950448,77.2775,55.929166666666674,-15.116827532144924,103.92043329528815,124.65547167568093,96.8914848450768,129.6369325934103,46.631578779772255,155.14676734671198,87.15227532753306,165.40534883866852
2025-03-10,131.8203576906749,132.28498828962867,131.35572709172115,90.20143860522198,188.39626636966617,113.1725,112.38333333333333,0.4646305989537609,105.96955287000688,125.40374591733453,99.12797200475406,130.23885528992258,50.62974427811872,156.41662110228665,87.55898798356664,166.81534686469922
2025-03-11,137.25184066649146,140.60070139551812,133.90297993746478,102.4439487084342,190.48252971536053,125.18666666666665,131.51916666666668,3.3488607290266543,108.22238940128405,125.79139334339014,102.25468087928348,130.61479690957123,54.846547434719334,159.59484597377573,87.38113338213132,168.20683123829727
2025-03-12,141.96095824107803,149.04312066755827,134.8787958145978,112.15081163250609,186.54177510677548,125.15374999999999,130.92499999999998,7.082162426480238,114.82228165002523,126.41407998145148,111.48131110839893,131.1244754576131,66.54735044650457,164.98840756343662,87.89588369305979,169.21315026436739
2025-03-13,136.0504619354762,140.72823052612034,131.37269334483204,109.83128534818637,177.40569252037741,125.16458333333333,130.91666666666666,4.677768590644149,119.54849446661777,127.06479166726835,117.26550990139917,131.29115356694842,74.29502600190142,168.40411182184283,89.63943425173238,169.94776108953818
2025-03-14,131.16402944313384,135.06081022040414,127.26724866586362,109.22647096617919,170.94488670098363,121.36208333333333,123.48583333333335,3.896780777270294,122.06587547492953,126.62768158428142,120.53512460555943,130.6292269750298,80.14312639430592,169.1770359481861,89.6009113717967,169.7163301530351
2025-03-15,101.67105982155663,96.78892848333514,106.55319115977808,65.82334391463976,126.1229835092537,91.99666666666667,87.28750000000001,-4.882131338221484,123.52270158897548,124.57876356759854,123.44716505354813,128.02644855873433,85.58338357553636,168.3936875302745,87.25244972514488,167.37569198842303
2025-03-16,77.54635098917258,64.5607710692047,90.53193090914044,18.56509336067996,116.48267813970071,71.53583333333333,58.555,-12.985579919967876,122.49500839822623,121.3079016393579,122.72393580739562,123.78351375139239,86.89177036226394,165.1966874374454,83.2622988587838,163.94708449709927
2025-03-17,109.31915831245324,113.82068652438404,104.81763010052246,68.21283632634052,163.6957530100348,99.69833333333334,94.10000000000002,4.501528211930804,119.28055134419458,119.63047619819865,120.08617841236068,121.90145194950658,83.75054146528088,161.66804267178375,81.04567298567768,162.56978138929148
2025-03-18,108.36512850946387,102.56497521100759,114.16528180792015,53.66491603846336,159.21389593874918,90.77333333333335,72.44333333333333,-5.80015329845628,115.15387817890492,118.68562535750446,114.65250324314489,120.58645620260818,76.7821082267136,157.2010949894107,78.97482879241528,162.32564037121918
2025-03-19,116.11873636901021,114.48379649064368,117.75367624737675,64.85886811156342,173.04860962886255,104.79916666666668,89.62166666666667,-1.6349398783665237,111.46213219718094,117.03335066361339,109.7154569321571,118.618723594426,70.02611629515037,155.27349992113744,76.69484819289157,161.07511528059496
2025-03-20,120.7245433654615,121.3094271045709,120.13965962635213,69.20531757977028,174.0037719448409,108.62833333333333,99.27499999999999,0.5848837391094008,109.2727152586074,116.02757528664094,106.94134215765004,117.54309525510294,64.22240661394808,154.78751126748935,74.94206369196266,160.1731956956249
2025-03-21,73.23471332237413,53.741000761832915,92.72842588291535,13.254473919625708,123.72265895528732,69.43458333333332,46.681666666666665,-19.49371256054122,100.99709866992745,114.27666712889383,95.32422652071128,115.17131328438619,50.51212132158329,148.04147873238986,72.26603707361649,158.83900076055988
2025-03-22,20.85881859067668,14.656961477598822,27.060675703754544,-19.394451103300437,52.604281950136986,14.409583333333336,11.870000000000003,-6.201857113077859,89.45249277980174,110.83181546714592,83.59108837703468,111.24345755926939,38.338150604734686,137.5388070810875,68.26310207263029,155.54085222825458
2025-03-23,65.81733579064816,73.15310296565039,58.48156861564593,24.824297025966846,133.30822243625408,58.99583333333334,62.55583333333333,7.335767175002232,87.77691918001254,109.14684188295708,84.81856436224119,109.50777149164746,39.232322556918525,139.9424562663094,66.13296340073559,154.93595955290766
2025-03-24,132.23278272726293,133.54995841224212,130.91560704228377,88.75071051489478,181.658699476857,129.53416666666666,135.8225,1.3171756849791905,91.05029409641394,110.92201739792479,87.63703177479235,110.97654517508023,42.16630458385485,142.5085914758554,67.34157154846356,157.00579057193906
2025-03-25,115.30527241475221,111.49698773219717,119.11355709730726,77.35465651662703,153.42493930805804,111.73625,109.65749999999998,-3.8082846825550405,92.04174322574083,111.288123781972,88.91303356353372,110.91948727919211,45.55055322359252,141.681597671471,67.25113126858031,157.58815503494017
